지점,지점명,일시,강수량(mm),강수량 QC플래그,적설(cm),3시간신적설(cm),현상번호(국내식)
108,서울,2024-01-01 01:00,,,2.4,,19
108,서울,2024-01-01 02:00,,,2.4,,19
108,서울,2024-01-01 03:00,,,2.4,,19
108,서울,2024-01-01 04:00,,,2.4,,19
108,서울,2024-01-01 05:00,,,2.4,,19
108,서울,2024-01-01 06:00,,,2.4,,19
108,서울,2024-01-01 07:00,,,2.4,,19
108,서울,2024-01-01 08:00,,,2.4,,19
108,서울,2024-01-01 09:00,,,2.4,,19
108,서울,2024-01-01 10:00,,,2.4,,19
108,서울,2024-01-01 11:00,,,2.2,,
108,서울,2024-01-01 12:00,,,1.7,,
108,서울,2024-01-01 13:00,,,.9,,
108,서울,2024-01-01 14:00,,,.5,,
108,서울,2024-01-01 15:00,,,.2,,
108,서울,2024-01-01 21:00,0,,,,01
108,서울,2024-01-01 22:00,,9,,,1901
108,서울,2024-01-01 23:00,,9,,,1901
108,서울,2024-01-02 00:00,0,,,,1901
108,서울,2024-01-02 01:00,,9,,,1901
108,서울,2024-01-02 02:00,,9,,,1901
108,서울,2024-01-02 03:00,0,,,,19
108,서울,2024-01-02 04:00,,9,,,19
108,서울,2024-01-02 05:00,,9,,,19
108,서울,2024-01-02 06:00,,9,,,19
108,서울,2024-01-02 07:00,,9,,,19
108,서울,2024-01-02 08:00,,9,,,1901
108,서울,2024-01-02 09:00,0,,,,19
108,서울,2024-01-02 10:00,,9,,,
108,서울,2024-01-02 11:00,,9,,,
108,서울,2024-01-02 12:00,,9,,,40
108,서울,2024-01-02 13:00,,9,,,40
108,서울,2024-01-02 14:00,,9,,,
108,서울,2024-01-02 15:00,,9,,,
108,서울,2024-01-02 16:00,,9,,,
108,서울,2024-01-02 17:00,,9,,,
108,서울,2024-01-02 18:00,,9,,,
108,서울,2024-01-02 19:00,,9,,,
108,서울,2024-01-02 20:00,,9,,,
108,서울,2024-01-02 21:00,,9,,,
108,서울,2024-01-02 22:00,,9,,,
108,서울,2024-01-02 23:00,,9,,,
108,서울,2024-01-03 00:00,,9,,,
108,서울,2024-01-03 07:00,,9,,,01
108,서울,2024-01-03 08:00,,9,,,1901
108,서울,2024-01-03 09:00,.1,,,,1901
108,서울,2024-01-03 10:00,,9,,,191001
108,서울,2024-01-03 11:00,,9,,,1901
108,서울,2024-01-03 12:00,.5,,,,19
108,서울,2024-01-03 13:00,,9,,,1901
108,서울,2024-01-03 14:00,,9,,,1901
108,서울,2024-01-03 15:00,0,,,,1901
108,서울,2024-01-03 16:00,,9,,,19
108,서울,2024-01-03 17:00,,9,,,
